entity,formattype,todate,amazontotalreviews,minappleprice,amazontotalrevenue,accruedpreordersoldunits,amazonlumpedpreordersubscriptionrevenue,preordersalesrevenue,foundatamazon,barnesandnobleaccruedpreorderrevenue,amazonpreordersubscriptionunits,amazonlumpedpreordersalesrevenue,foundatbarnesandnoble,maxprice,lumpedpreordersubscriptionunits,applepreorderrevenue,amazontotalunits,totalrevenue,barnesandnobleaccruedpreorderunits,preorderunits,amazonsubscriptionrevenue,amazonlumpedpreorderrevenue,maxbarnesandnoblelistprice,maxlistprice,barnesandnoblesoldunits,maxapplelistprice,amazonaccruedpreordersubscriptionrevenue,accruedpreordersubscriptionunits,amazonkenpread,applesoldunits,minamazonlistprice,minprice,appleaccruedpreorderunits,preorderperiod,lumpedpreordersoldunits,accruedpreorderrevenue,maxamazonlistprice,amazonaccruedpreorderrevenue,barnesandnoblepreorderunits,amazonaccruedpreorderunits,minbarnesandnoblelistprice,appleaccruedpreorderrevenue,applelumpedpreorderunits,applesalesrevenue,preordersoldunits,lumpedpreordersalesrevenue,totalunits,maxamazonprice,amazonlumpedpreordersoldunits,amazonaveragerating,accruedpreorderunits,amazonsalesrevenue,barnesandnoblesalesrevenue,minlistprice,amazonaccruedpreordersalesrevenue,amazonlumpedpreorderunits,lumpedpreordersubscriptionrevenue,applelumpedpreorderrevenue,minamazonprice,subscriptionunits,amazonpreorderunits,amazonpreorderrevenue,amazonaccruedpreordersoldunits,amazonpreordersoldunits,salesrevenue,preordersubscriptionrevenue,lumpedpreorderunits,amazonaccruedpreordersubscriptionunits,applepreorderunits,subscriptionrevenue,soldunits,minapplelistprice,barnesandnoblepreorderrevenue,amazonsubscriptionunits,amazonlumpedpreordersubscriptionunits,aapreported,accruedpreordersubscriptionrevenue,foundatapple,barnesandnoblelumpedpreorderrevenue,barnesandnoblelumpedpreorderunits,minbarnesandnobleprice,accruedpreordersalesrevenue,maxbarnesandnobleprice,preorderrevenue,pubtrackreported,lumpedpreorderrevenue,amazonsoldunits,amazonpreordersubscriptionrevenue,preordersubscriptionunits,amazonpreordersalesrevenue,maxappleprice
Alone in the dark,audio,2017-04-08,306.0,0,2990,0,0,0,1,0,0,0,0,0,0,0,3,2990,0,0,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,410.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-04-09,306.0,0,2990,0,0,0,1,0,0,0,0,0,0,0,3,2990,0,0,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,410.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-04-22,306.0,0,6580,0,0,0,1,0,0,0,0,1795,0,0,4,6580,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,4,1795,0,410.0,0,3590,0,1885,0,0,0,0,1795,2,0,0,0,0,3590,0,0,0,0,2990,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-04-23,306.0,0,6580,0,0,0,1,0,0,0,0,1795,0,0,4,6580,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,4,1795,0,410.0,0,3590,0,1885,0,0,0,0,1795,2,0,0,0,0,3590,0,0,0,0,2990,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Alone in the dark,audio,2017-04-27,307.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-04-28,307.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-07,307.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-08,307.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-09,307.0,0,3290,0,0,0,1,0,0,0,0,1795,0,0,2,3290,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,2,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,1,0,0,0,0,1795,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-10,307.0,0,8075,0,0,0,1,0,0,0,0,1795,0,0,5,8075,0,0,4485,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,5,1795,0,440.0,0,3590,0,1885,0,0,0,0,1795,3,0,0,0,0,3590,0,0,0,0,4485,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
